appendix_item,label,concreteness,complexity,familiarity,meaningfulness,semantic_distance,complexity_metric,concept_agreement,name_agreement,common_response,source_page,ocr_confidence,verified
84,External cyl indrical grinding,2.58,3.15,1.78,1.35,2.13,6,2.50,2.50,,17,86.08,false
85,External hard disk,3.08,3.15,1.98,1.63,1.86,10,2.50,2.50,,17,90.51,false
86,External honing,2.30,2.90,2.10,1.77,1.66,7,0.00,7.50,electrical,17,86.18,false
87,Fallout shelter,2.85,2.65,3.55,2.58,1.52,4,0.00,20.00,20 00 radiation,17,90.55,false
88,Fan,2.58,2.40,2.35,2.30,3.36,9,17.50,17.50,,17,87.96,false
89,Farm kitchen,2.30,2.32,1.88,1.67,1.14,3,0.00,10.00,pot,17,88.51,false
90,Fast,4.72,3.73,3.73,3.02,3.02,41,15.00,52.50,rabbit,17,89.46,false
91,Fast forward,1.23,1.23,4.27,3.95,3.38,2,62.50,62.50,,18,89.56,false
92,Fast rewind,3.05,1.10,4.25,3.70,3.00,2,50.00,50.00,,18,92.37,false
93,Female,2.15,2.73,4.75,4.60,2.14,3,60.00,60.00,,18,88.39,false
94,Fighter,4.50,1.88,4.33,3.90,3.69,1,55.00,50.00,,18,85.33,false
95,File manager,4.55,2.53,4.00,3.35,3.24,7,10.00,47.50,files,18,90.19,false
96,Films,4.60,4.70,4.55,4.20,4.33,1,80.00,80.00,,18,89.13,false
97,Films,4.47,3.92,3.67,3.07,2.79,12,2.50,25.00,Marilyn Monroe,18,94.51,false
98,First aid,3.50,4.17,4.80,4.65,2.29,1,30.00,30.00,Red Cross,18,84.36,false
99,Fixed bed reactor,2.00,2.75,1.87,1.70,4.32,14,0.00,12.50,microphone,18,87.20,false
100,Focal plane,2.70,1.32,3.35,3.42,4.62,2,0.00,42.50,underground,18,94.06,false
101,Food processing industry,2.15,2.15,2.69,3.18,2.76,4,0.00,4.00,chef,19,90.14,false
102,Football,4.93,3.03,4.53,3.97,4.83,9,75.00,75.00,,19,84.57,false
103,Football ground,2.93,2.15,2.48,2.40,2.31,8,12.50,32.50,rugby,19,86.61,false
104,Frog,4.80,3.45,3.28,3.05,4.88,28,50.00,50.00,,19,91.72,false
105,Fun,3.57,1.87,4.15,3.48,3.02,3,0.00,36.00,happy,19,89.64,false
106,Gastropod Is,2.95,1.55,3.10,3.10,1.74,3,2.50,72.50,ice cream,19,91.25,false
107,Gents toilets,4.35,4.35,4.95,4.17,3.33,2,55.00,55.00,,19,84.49,false
108,Go rapidly,4.35,1.93,4.05,4.05,3.71,1,0.00,45.00,running,19,88.24,false
109,Graph,3.63,3.30,3.53,3.48,4.12,12,2.00,52.00,,19,93.58,false
110,Gravel pit,3.60,1.50,2.85,2.68,2.02,4,0.00,82.50,digging,19,91.28,false
111,Handle with care,2.95,2.65,3.08,2.50,3.14,3,7.50,15.00,holding,20,86.74,false
112,Headlamp cleaner,3.10,2.95,2.75,2.40,3.03,10,45.00,15.00,,20,90.89,false
113,Heavy manufacturing,4.13,3.00,3.20,2.78,2.12,13,0.00,32.50,cog,20,89.48,false
114,Heliport,4.72,1.90,4.05,3.85,4.00,6,2.50,80.00,helicopter,20,93.04,false
115,Hierarchy,2.43,2.47,2.65,2.75,2.67,15,5.00,25.00,family tree,20,90.04,false
116,High water level in laundry machines,3.85,1.63,3.85,3.36,2.62,2,5.00,52.50,water,20,91.25,false
117,Hiking trail,4.10,1.53,3.38,3.18,2.81,3,5.00,37.50,footprint,20,92.67,false
118,Information,3.20,2.07,3.05,2.80,1.33,4,0.00,25.00,directions,20,91.29,false
119,Inject reacting resin,2.10,3.45,1.80,1.65,1.71,8,0.00,12.50,flow,20,89.63,false
120,Insert object linking and embedding file,2.73,3.40,2.00,2.05,4.13,12,20.00,20.00,desert,20,92.80,false
121,Inspect,4.70,2.33,3.80,3.80,2.60,6,2.50,65.00,glasses,21,92.86,false
122,Instrument illumination,2.30,2.30,3.78,3.32,2.00,14,0.00,30.00,speedometer,21,91.99,false
123,lonising radiation,3.65,1.53,4.50,4.10,2.02,4,50.00,50.00,,21,86.84,false
124,Iris diaphragm Open,2.85,2.17,2.48,1.92,2.85,7,0.00,15.00,football,21,90.91,false
125,Iron,2.38,3.35,2.42,1.90,1.86,32,0.00,5.00,container,21,92.87,false
126,Jacketed reactor,2.13,4.15,1.38,1.35,1.46,15,0.00,2.50,,21,88.76,false
127,Justice,4.18,3.90,3.88,3.75,2.74,7,12.50,42.50,scales,21,89.34,false
128,Kitchen,2.88,4.20,1.65,2.03,2.79,46,25.00,25.00,,21,89.05,false
129,Laminate,3.28,1.15,1.92,2.05,2.15,7,2.50,17.70,butterfly,21,91.15,false
130,Launch applicat ion program,2.93,2.93,3.18,3.85,3.29,21,0.00,42.50,rocket,21,84.41,false
131,Library,4.13,3.30,3.05,3.23,3.40,13,27.50,27.50,,22,88.02,false
132,Lift,4.45,3.05,3.82,3.98,4.76,8,65.00,65.00,,22,92.43,false
133,Lift,2.68,2.03,2.42,2.48,1.90,5,0.00,45.00,two-way,22,90.45,false
134,Line vessel,2.08,2.23,1.70,1.85,1.62,1,15.00,17.50,down,22,93.54,false
135,Links to other web sites,3.47,3.30,3.02,2.90,2.12,8,0.00,40.00,chain,22,93.43,false
136,Lock,4.58,1.75,4.03,3.95,4.57,3,70.00,70.00,,22,90.10,false
137,Loudspeaker connection,3.70,1.13,3.93,3.27,3.24,2,45.00,45.00,,22,90.02,false
138,Lumber industry,3.23,2.98,2.45,3.08,3.26,5,10.00,25.00,saw,22,90.69,false
139,Mace,3.30,3.30,2.95,3.35,3.85,12,20.00,20.00,,22,89.97,false
140,Macrobiotics,2.20,2.20,4.42,3.97,1.24,4,0.00,12.50,yin yang,22,93.01,false
141,Magnify,3.48,3.88,2.20,2.40,3.64,14,15.00,30.00,clock,23,89.80,false
142,Mail merge main document,2.95,3.83,2.28,1.80,1.83,14,0.00,10.00,documents,23,94.22,false
143,Male,3.37,1.23,4.75,4.43,2.14,3,62.50,62.50,,23,91.59,false
144,Manual control,4.20,1.95,3.37,3.03,3.12,41,0.00,27.50,hand,23,84.50,false
145,Measure,3.48,3.30,2.48,2.40,2.90,12,7.50,7.50,,23,90.67,false
146,Microphone,4.83,2.87,4.20,3.98,4.86,7,65.00,65.00,,23,84.35,false
147,Mineral spring,3.28,2.15,3.02,3.35,2.26,7,5.00,65.00,fountain,23,89.77,false
148,Missile in flight,2.80,1.25,2.72,2.75,2.55,1,45.00,45.00,,23,90.17,false
149,Module,3.87,2.50,3.43,3.67,1.50,1,0.00,30.00,jigsaw,23,91.63,false
150,Mouse,4.68,3.50,3.22,3.50,4.57,16,62.50,62.50,,23,95.50,false
151,Mouse connection,3.53,2.37,3.40,3.22,3.52,4,22.90,22.50,,24,87.87,false
152,Mouse properties,4.25,3.25,3.87,2.93,2.90,4,52.50,52.50,,24,88.63,false
153,Museum,2.15,2.73,2.00,2.00,1.98,3,0.00,7.50,Greek temple,24,89.48,false
154,Naughty,3.85,3.70,2.83,3.15,3.14,21,0.00,87.50,devil,24,93.36,false
155,Navy,4.23,1.40,4.32,4.13,3.26,3,5.00,67.50,anchor,24,92.32,false
156,No entry,4.65,1.60,3.90,3.97,2.79,1,57.50,57.50,,24,88.56,false
157,No entry,4.43,1.13,4.87,4.40,2.02,2,82.50,82.50,,24,90.44,false
158,No entry,3.97,1.45,3.65,3.27,1.71,1,5.00,20.00,man,24,91.44,false
159,No,3.85,2.05,4.70,3.95,2.07,3,17.50,10.00,,24,89.59,false
160,Noise,2.70,3.18,3.58,3.08,2.40,1,15.00,15.00,,24,86.80,false
161,Non-ionisin ig radiation,3.50,3.67,3.67,3.88,1.59,8,15.00,20.00,sound,25,93.11,false
162,Note,4.45,3.32,3.35,3.08,3.95,5,47.50,47.50,,25,81.42,false
163,Open half-nut,2.45,3.47,1.83,1.98,2.13,11,9.00,12.50,screw,25,86.10,false
164,Open location,2.23,3.63,1.90,1.59,1.33,2,2.50,5.00,keyboard,25,84.70,false
165,Open shade,4.05,1.04,4.23,4.05,1.64,1,0.00,77.50,cloud,25,88.42,false
166,Opening of selvedge loops,1.62,2.90,1.50,1.30,1.68,12,0.00,2.50,,25,89.43,false
167,Oscillating motor,1.88,2.83,4.85,1.62,1.26,5,0.00,5.00,circuit,25,93.02,false
168,Paper industry,3.78,1.80,3.00,2.88,2.71,4,2.50,35.00,toilet paper,25,90.26,false
169,Paradox,2.55,3.72,3.18,2.25,2.17,3,0.00,7.50,,25,90.63,false
170,Pause,2.60,1.20,3.28,3.03,2.07,2,37.50,37.50,,25,91.03,false
171,Peace,2.10,2.10,4.30,3.80,1.98,4,42.50,42.50,,26,84.81,false
172,Picnic area,4.00,2.23,3.90,4.12,3.90,6,57.50,57.50,,26,87.55,false
173,Plasticizing cylinder with plunger,2.15,2.32,2.15,1.55,2.05,4,0.00,5.00,piston,26,93.61,false
174,Plate column,2.83,2.30,2.73,2.08,1.69,11,2.50,10.00,thermometer,26,80.90,false
175,Polishing process of fabrics,2.98,1.95,2.45,2.03,1.32,3,0.00,15.00,saw,26,90.22,false
176,Portable files,4.83,2.60,3.80,3.75,2.57,9,0.00,45.00,suitcase,26,91.85,false
177,Press tool,2.65,3.20,2.03,1.63,2.38,9,2.50,5.00,machinery,26,85.73,false
178,Product,2.00,1.40,2.12,1.68,1.02,2,0.00,7.50,button,26,91.09,false
179,Protect from heat and radioactive,2.50,3.62,2.20,2.70,2.60,16,0.00,20.00,energy,26,94.47,false
180,Punch marking,2.60,2.75,2.13,1.78,2.68,5,0.00,15.00,drill,26,93.95,false
181,Radiation of laser apparatus,3.23,2.53,3.13,3.18,1.83,25,2.50,7.50,sun,27,78.23,false
182,Random Access Memory (RAM),3.70,3.50,3.15,2.65,2.00,6,5.00,27.50,microchip,27,92.35,false
183,Recycle,3.27,4.42,4.42,4.20,3.26,9,72.50,72.50,,27,92.76,false
184,Return to home page,4.78,2.95,3.90,3.70,2.43,13,7.50,62.50,house,27,88.02,false
185,Rinse,1.65,3.40,1.65,1.55,1.55,7,0.00,2.50,,27,92.11,false
186,Risk of explosion,3.65,3.72,3.30,3.15,2.76,26,15.00,15.00,,27,87.63,false
187,Roman,3.93,3.22,2.97,3.08,3.62,3,25.00,25.00,,27,89.21,false
188,Rotary vacuum filter,1.90,4.00,1.53,1.50,1.70,9,0.00,5.00,forces,27,93.07,false
189,Rotation of cylinder with direction of cloth,1.65,3.40,1.48,1.45,1.87,10,0.00,7.50,bike,27,90.43,false
190,Rye,2.82,1.95,2.74,2.58,2.17,9,7.50,27.50,arrow,27,85.06,false
191,Safe,4.83,3.18,3.90,4.62,4.62,12,77.50,77.50,,28,82.14,false
192,Safety device against overload,1.83,1.83,1.95,1.43,1.02,3,0.00,5.00,fault,28,93.49,false
193,Safety isolating transformer,2.17,2.10,2.10,1.53,1.25,4,0.00,2.50,,28,92.16,false
194,Scale of Measurement,2.12,3.08,1.87,1.48,2.38,12,2.50,5.00,distance,28,88.16,false
195,Scythe,3.38,1.52,3.02,2.78,4.23,3,62.50,62.50,,28,93.38,false
196,Sea mine decoy,1.80,2.62,1.58,1.30,1.54,7,0.00,2.50,,28,90.32,false
197,Search,3.20,3.95,2.15,2.40,2.70,13,0.00,32.50,,28,83.58,false
198,Search,4.85,3.70,3.83,3.85,3.29,21,0.00,65.00,,28,84.15,false
199,Search,4.62,2.58,3.65,3.75,2.43,4,0.00,70.00,torch,28,54.44,false
200,Select irregular area,2.20,2.85,2.28,1.88,1.79,10,0.00,20.00,star,28,54.44,false
201,Shopping,4.83,3.12,4.03,3.90,4.10,7,15.00,60.00,bag,29,92.92,false
202,Slow,4.72,1.70,3.45,3.53,3.26,1,15.00,62.50,turtle,29,92.59,false
203,Smooth edges,2.95,4.30,2.42,2.18,1.50,41,2.50,12.50,paint,29,84.49,false
204,Sound,4.35,1.30,4.60,4.52,3.53,1,2.50,75.00,music,29,90.33,false
205,Spad le,2.75,1.48,2.50,1.98,3.62,2,22.50,22.50,,29,92.99,false
206,Spark coil- ignition element,2.25,2.27,2.55,2.17,1.95,3,0.00,15.00,electricity,29,90.68,false
207,Spark plug,2.35,2.83,3.60,3.20,4.55,15,42.50,42.50,,29,93.90,false
208,Sterilizer,1.85,3.40,1.90,1.73,1.36,2,0.00,7.50,bacteria,29,92.34,false
209,Straining element,1.80,1.80,1.95,1.62,1.28,4,0.00,5.00,tool,29,94.12,false
210,Suction removal of trimmed edg es,1.95,3.35,1.52,1.70,2.49,13,2.50,2.50,,29,90.11,false
211,Surgery,4.45,3.70,3.10,3.60,3.45,18,0.00,40.00,doctor,30,93.27,false
212,Tape cassette,3.10,3.10,4.12,4.12,4.83,16,12.50,72.50,,30,88.80,false
213,Tape recorder,3.10,1.45,3.30,2.78,2.69,3,15.00,32.50,film camera,30,90.63,false
214,Temperature,4.60,4.18,4.70,4.25,4.33,2,50.00,50.00,,30,87.60,false
215,Thin ice,3.87,2.75,3.00,3.92,3.74,7,70.00,70.00,70 00,30,80.61,false
216,Three star freezing compartment,2.63,1.63,3.13,2.75,2.95,4,12.50,12.50,,30,92.10,false
217,Timber,3.45,2.85,2.42,1.93,2.55,6,50.00,30.00,,30,86.54,false
218,Time,3.75,1.58,3.60,3.80,3.55,1,32.50,50.00,timer,30,90.63,false
219,Timed page cancelied,2.35,3.00,1.98,2.35,2.60,7,10.00,15.00,time no,30,90.40,false
220,Toolbox,4.80,2.55,3.28,3.73,3.50,9,47.50,47.50,,30,89.64,false
221,Topic,4.63,3.15,3.50,2.75,1.88,12,0.00,32.50,files,31,89.74,false
222,Tourist activities,3.83,4.70,3.43,3.80,1.50,6,0.00,47.50,tree,31,91.23,false
223,Toxic substances,3.97,2.77,4.65,4.75,3.45,3,47.50,47.50,,31,90.60,false
224,Tubular film die,1.90,2.68,1.88,1.50,1.18,5,0.00,5.00,circuit,31,88.54,false
225,Typewriter,4.93,3.03,3.88,3.85,4.90,35,75.00,9.00,,31,84.03,false
226,Undo,2.62,1.35,2.88,2.80,2.26,2,2.50,27.50,,31,70.30,false
227,Vertebrates,2.80,1.55,2.45,2.55,2.12,1,0.00,62.50,bone,31,62.22,false
228,Vibrate,2.02,2.40,1.80,1.57,2.76,7,5.00,7.50,expanding,31,62.22,false
229,Video camera,4.83,3.28,3.90,3.92,4.69,9,57.50,57.50,,31,17.50,false
230,Wall,3.95,2.78,3.00,3.13,4.40,12,60.00,60.00,,31,26.25,false
231,Water cooled condenser,2.85,2.70,2.90,2.18,2.02,8,0.00,40.00,electricity,32,90.00,false
232,Water power,3.13,2.55,2.70,2.40,1.50,4,0.00,22.50,tunnel,32,89.46,false
233,Webcrawler,4.58,3.70,3.33,3.47,3.14,4,0.00,2.50,spider,32,88.40,false
234,Weight,3.03,3.08,2.05,1.97,3.19,3,15.00,15.00,,32,90.30,false
235,Wheel,4.00,3.18,2.83,2.40,4.48,16,35.00,35.00,,32,85.11,false
236,Windscreen demisting and defrosting,3.50,2.00,3.90,3.65,2.88,4,40.00,40.00,,32,93.78,false
237,Winter sports area,3.87,2.97,4.45,4.25,2.24,18,0.00,35.00,snowflake,32,89.54,false
238,Zoom,1.75,1.75,1.95,1.35,1.76,2,0.00,5.00,kite,32,91.03,false
239,Zoom,2.05,2.87,1.73,1.10,1.10,7,7.50,7.50,radio,32,89.55,false
